0,sample,9007199254740993,3,true,true,1,9007199254740993,3,true,false,false
0,sample,9007199254740993,3,true,true,2,18014398509481986,6,true,false,false
0,gap,0,0,true,true,3,18014398509481986,6,false,false,false
0,sample,0,7,true,true,4,18014398509481986,13,false,false,false
0,close,0,0,true,true,5,18014398509481986,13,false,false,true
1,sample,18446744073709551615,0,true,true,1,18446744073709551615,0,true,false,false
1,sample,1,1,true,true,2,18446744073709551615,0,false,false,false
1,sample,0,1,true,true,3,18446744073709551615,1,false,false,false
1,close,0,0,true,true,4,18446744073709551615,1,false,false,true
2,sample,0,18446744073709551615,true,true,1,0,18446744073709551615,true,false,false
2,sample,1,1,true,true,2,0,18446744073709551615,false,false,false
2,close,0,0,true,true,3,0,18446744073709551615,false,false,true
3,sample,2,3,true,true,1,2,3,true,false,false
3,sample,4,5,false,true,1,2,3,true,true,false
3,sample,1,1,true,true,1,2,3,true,true,false
3,close,0,0,true,true,1,2,3,true,true,true
4,sample,2,3,true,true,1,2,3,true,false,false
4,sample,4,5,true,false,2,6,8,false,false,false
4,sample,0,0,true,true,3,6,8,false,false,false
4,close,0,0,true,true,4,6,8,false,false,true
5,close,0,0,false,true,0,0,0,true,true,true
5,sample,1,1,true,true,0,0,0,true,true,true
